name,lat,long,Score
L&l Indian Restaurant,NA,NA,36.27443257
Loko Wraps,19.487522,-155.90651,65.97283012
The Overland Fine Eatery,41.312009,-105.595758,19.72925396
On The Bridge,37.7852485,-122.4314288,72.13422613
Village Inn,41.49246,-90.536177,6.020253941
Erawan of Siam Restaurant - Closed,42.368145,-71.23776,98.85298941
Cava Mezze Grill,38.98066,-77.09696,82.35530552
Aladdin's Eatery,42.046314,-87.680021,46.6909147
Chipotle Mexican Grill,NA,NA,92.0203262
Big Burger Spot,36.060596,-79.910545,36.84609316
Village Inn,30.286145,-81.391436,13.35430084
Ambala Express,34.050255,-118.437349,70.30173581
Iga,32.698753,-102.713509,79.21574089
Original Fried Pie Shop,NA,NA,7.272392011
Seven Star Street Bistro - Roslindale,42.286377,-71.136995,77.04674259
Nature's Way Cafe,26.85072,-80.06169,40.04034659
Cuvee Wine Bistro,29.16538,-82.163574,45.24610186
Indigo Cafe,NA,NA,28.49361273
Amore Pizza,43.33037,-73.69827,39.82253524
Cuislimo -cuisine Limousine,47.672264,-122.11939,93.52042881
Brick Lane Curry House,40.726981,-73.988127,49.30817545
Tavern On The Green,42.522957,-70.88728,37.4068663
Delta Restaurant,44.024765,-88.56737,26.56526437
Pei Wei,35.1770963,-101.9382012,92.40968885
Transfermke,NA,NA,75.72492731
,37.32051,-121.949265,57.62698143
,NA,NA,79.50684818
Evos St Petersburg,27.79644186,-82.63819706,63.73656069
La Salsa,33.817927,-118.385527,57.53495842
Pizza Pro,31.073895,-96.979256,65.4815331
Hollywood Gardens,NA,NA,11.40881542
Braum's Ice Cream & Dairy,32.670285,-97.322788,51.83301951
Pho Huong Giang,29.907653,-95.584516,33.36765819
Veggie Grill,NA,NA,11.13225099
Pure & Supreme Cuisine,NA,NA,28.28864023
Sweetgreen,NA,NA,1.745785548
Siam Thai Food Restaurant,NA,NA,35.45281436
Horn of Plenty Market Restaurant,35.941196,-84.0918,94.2558257
Woodlands Restaurant,NA,NA,18.69571433
Clover Food Lab,NA,NA,80.51396141
Better Life Cuisine,34.017967,-118.4904,7.972203568
The Cheeze Factory Restaurant,43.5873,-89.784195,47.94576351
Dao Fu,NA,NA,41.29135462
Highline,47.62026129,-122.3207112,6.303738894
Middlebury Natural Food Co-op,44.01493837,-73.16505966,34.90188679
Schlotzsky's Deli,32.9512294,-96.7673709,94.44121278
Hero Shop,34.0451164,-118.2497439,39.56395706
Lee's Sandwich Shop,29.6861182,-95.5584026,28.35772158
Star of India,42.4608018,-83.13605062,80.89445609
Sensitive Sweets,33.709957,-117.95452,99.7073446
Carmo,29.945484,-90.069877,70.74260596
Fei's Cafe,NA,NA,44.39557645
Veggie Grille,NA,NA,22.31671714
,42.35133,-83.065605,92.06304504
Sweet & Natural,38.938582,-76.9607518,91.07615023
Eternity Juice Bar,NA,NA,63.19066748
Angel & Angie's,NA,NA,59.98655305
Pita Jungle (pasadena),34.14578,-118.14954,67.4122325
Hapa Grill,NA,NA,11.2322451
Wildflour Cafe and Bakery,NA,NA,90.38214085
Keva Juice of Santa Fe,35.639392,-106.011668,21.89098612
Thrive,NA,NA,3.03004805
Ezra's Enlightened Cafe,NA,NA,63.80692502
Sutra,47.66138,-122.33847,65.87334403
Miss Saigon,NA,NA,29.25911915
Serendib,44.541203,-68.42511,55.33820883
Veggie Palace,NA,NA,81.62904809
Tapas At Tapeo Restaurant and Tapas Bar,42.34937,-71.08334,73.56613303
Earthfare,36.30145,-82.37771,4.056446856
,41.307747,-72.93206,23.25210344
Blue Moon Pizza,26.555674,-81.87841,71.56742566
,42.21752,-85.89305,6.265126064
Sunflower Cafe,27.09991,-82.44915,61.81630526
Gaslight Restaurant Bar Lounge,40.74237,-74.03614,60.63227216
Golden Dragon,38.441097,-122.71454,90.1507008
Superfood Citizens Cafe,NA,NA,74.61646452
,NA,NA,33.02571709
Life Grocery Natural Foods Cafe,33.95075,-84.51017,96.05450365
Pho Vi Vietnamese Cuisine,NA,NA,7.192612963
How Do You Roll?,29.758212,-95.365137,29.30118305
,NA,NA,42.71504097
Ground Control,34.047611,-118.324181,83.85354156
Oasis Express (closed),38.5802,-121.49053,18.65766882
,42.027924,-91.62435,22.48566289
Jack's Chili Factory,34.0221159,-118.334661,92.37674249
Panchero's,28.237477,-82.32573,72.52028633
Pneumatic Diner,39.52442,-119.81941,99.34117269
Abby's Table,NA,NA,90.64827143
Squeezed Juice Bar,NA,NA,37.88764258
,42.372102,-71.120358,81.56929071
Pizza Pro,32.9366531,-97.543504,22.45639366
Juice & Java Natural Food,NA,NA,95.54499038
Mimi's Cafe,33.319257,-111.977785,58.00520528
Felfel Mediterranean Fresh Rotisserie Grill,NA,NA,55.77257324
Grill Restaurant Evansville,NA,NA,92.33615546
Adam's Mountain Cafe,38.85943,-104.919717,66.51321333
Pepe's,NA,NA,34.37639541
Elephant Bistro,NA,NA,79.44070795
El Quinto Sol,NA,NA,27.36748395
Keva Juice,NA,NA,79.90618656
Tropical Smoothie,NA,NA,20.46212386
Trolley Stop Market,35.14128164,-90.03758223,88.15546801
Sorrento Pizza - Clinton Twp,42.604099,-82.95241,52.7501068
Gangadin Restaurant,34.144485,-118.3945,0.620470138
In Season Deli,33.426476,-111.94005,76.21777075
Sublime,26.145521,-80.120212,92.6018129
Moonlight Cafe,NA,NA,46.99332468
Vege Usa,NA,NA,83.0145966
Garden Grill Cafe,NA,NA,47.66121392
Sky Island Natural Foods,NA,NA,77.40167871
Or Juice and Smoothie,38.640645,-90.262161,60.71609972
,NA,NA,14.03325633
Seed Bistro,NA,NA,54.64469342
Pita Pavilion,41.89558,-87.62426,41.5414479
Blossom Du Jour,40.75964,-73.992156,5.163295254
"Dandelion Communitea Caf��, Dandelion Communitea Café",NA,NA,40.74239051
Indian Hurry Curry - Closed,42.229618,-121.77675,85.55007479
Green Elephant Juicery,39.63137,-106.41668,48.53576958
Freefoods Nyc,NA,NA,94.53595564
"Sweetgreen, Melt Shop",38.90404,-77.043918,99.43358297
"Kadampa Meditation Center Maryland & World Peace Café, Kadampa Meditation Center Maryland & World Peace Caf��",NA,NA,53.22462853
A Taste of Honey,40.60404,-74.1751929,28.47309522
Montage,39.9101286,-86.0870404,92.14354048
Pizza Pro,36.27876,-90.98515,10.13354038
Harvest Table Restaurant,36.761414,-81.86114,75.38334091
Tgi Friday's,42.106187,-88.29209,8.465848563
Cafe Franco's Llc,36.00955,-75.65857,80.06319528
Pizza Inn,34.81571,-82.60153,85.15816099
Taco John's,40.645199,-89.601066,33.97824074
Liberty Tax Service,41.485354,-87.713137,48.47580139
Buca Di Beppo,41.837148,-88.010095,77.97323708
The Pizza Factory,39.821807,-88.95816,79.07356083
Captain's Table,41.514911,-90.470961,89.33042241
Ristorante Amalfi,41.941816,-88.063545,55.6061168
Borrowed Earth Cafe,41.795879,-88.009525,58.39155396
Papa Saverios Pizzeria,42.087402,-88.043813,48.02046297
Buca Di Beppo,42.149571,-87.913084,65.65015899
India's Grill,34.070802,-118.375841,27.27411892
Pitfire Pizza,34.046442,-118.433779,71.36622246
Kbc Champion Billards,34.07716,-118.045344,69.09484306
Sante La Brea,34.077602,-118.344241,67.29357753
Cafe Sevilla & Tapas Bar of Riverside,33.980425,-117.368849,96.27747177
Tandoori Bistro Pizzeria Cafe,33.810596,-118.291535,36.26445997
Rubio's Fresh Mexican Grill,33.570445,-117.713696,66.03094875
Lulu's Creperie Cafe,33.602495,-117.692143,46.79653669
Forage,34.091463,-118.279201,16.40996977
Palm Greens Cafe,33.813849,-116.545576,13.05286527
Blue Hen Restaurant,34.139629,-118.205281,91.7332646
